Index	FeatureMap	Pixel	Decimal	Binary
--------------------------------------------------------------------------------
0	0	0	-215	111100101001
1	0	1	-168	111101011000
2	0	2	90	000001011010
3	0	3	104	000001101000
4	0	4	46	000000101110
5	0	5	-139	111101110101
6	0	6	-17	111111101111
7	0	7	-158	111101100010
8	0	8	25	000000011001
9	0	9	-121	111110000111
10	0	10	118	000001110110
11	0	11	118	000001110110
12	0	12	-87	111110101001
13	0	13	-116	111110001100
14	0	14	-18	111111101110
15	0	15	-48	111111010000
16	0	16	17	000000010001
17	0	17	-100	111110011100
18	0	18	-167	111101011001
19	0	19	29	000000011101
20	0	20	-56	111111001000
21	0	21	106	000001101010
22	0	22	-65	111110111111
23	0	23	-24	111111101000
24	0	24	-480	111000100000
25	0	25	-230	111100011010
26	0	26	61	000000111101
27	0	27	-6	111111111010
28	0	28	38	000000100110
29	0	29	-419	111001011101
30	0	30	-179	111101001101
31	0	31	147	000010010011
32	0	32	55	000000110111
33	0	33	-81	111110101111
34	0	34	-250	111100000110
35	0	35	-75	111110110101
36	0	36	-320	111011000000
37	0	37	-146	111101101110
38	0	38	299	000100101011
39	0	39	-7	111111111001
40	0	40	87	000001010111
41	0	41	-401	111001101111
42	0	42	-543	110111100001
43	0	43	-528	110111110000
44	0	44	60	000000111100
45	0	45	69	000001000101
46	0	46	65	000001000001
47	0	47	31	000000011111
48	0	48	-970	110000110110
49	1	0	-44	111111010100
50	1	1	-173	111101010011
51	1	2	-206	111100110010
52	1	3	-239	111100010001
53	1	4	-176	111101010000
54	1	5	-370	111010001110
55	1	6	-677	110101011011
56	1	7	-108	111110010100
57	1	8	2	000000000010
58	1	9	-54	111111001010
59	1	10	19	000000010011
60	1	11	16	000000010000
61	1	12	73	000001001001
62	1	13	226	000011100010
63	1	14	22	000000010110
64	1	15	63	000000111111
65	1	16	109	000001101101
66	1	17	-50	111111001110
67	1	18	206	000011001110
68	1	19	185	000010111001
69	1	20	199	000011000111
70	1	21	57	000000111001
71	1	22	167	000010100111
72	1	23	-42	111111010110
73	1	24	-382	111010000010
74	1	25	174	000010101110
75	1	26	71	000001000111
76	1	27	17	000000010001
77	1	28	193	000011000001
78	1	29	122	000001111010
79	1	30	37	000000100101
80	1	31	-215	111100101001
81	1	32	60	000000111100
82	1	33	109	000001101101
83	1	34	107	000001101011
84	1	35	209	000011010001
85	1	36	295	000100100111
86	1	37	201	000011001001
87	1	38	-237	111100010011
88	1	39	-265	111011110111
89	1	40	-107	111110010101
90	1	41	-277	111011101011
91	1	42	20	000000010100
92	1	43	-39	111111011001
93	1	44	-127	111110000001
94	1	45	-115	111110001101
95	1	46	-512	111000000000
96	1	47	-290	111011011110
97	1	48	-203	111100110101
