Index	FeatureMap	Pixel	Decimal	Binary
--------------------------------------------------------------------------------
0	0	0	435	000110110011
1	0	1	-112	111110010000
2	0	2	-237	111100010011
3	0	3	-289	111011011111
4	0	4	-168	111101011000
5	0	5	-96	111110100000
6	0	6	-51	111111001101
7	0	7	54	000000110110
8	0	8	-128	111110000000
9	0	9	-204	111100110100
10	0	10	-308	111011001100
11	0	11	-264	111011111000
12	0	12	-10	111111110110
13	0	13	51	000000110011
14	0	14	-175	111101010001
15	0	15	310	000100110110
16	0	16	-257	111011111111
17	0	17	27	000000011011
18	0	18	13	000000001101
19	0	19	-373	111010001011
20	0	20	-1	111111111111
21	0	21	296	000100101000
22	0	22	149	000010010101
23	0	23	38	000000100110
24	0	24	-56	111111001000
25	0	25	-215	111100101001
26	0	26	-423	111001011001
27	0	27	92	000001011100
28	0	28	-591	110110110001
29	0	29	118	000001110110
30	0	30	-28	111111100100
31	0	31	-527	110111110001
32	0	32	-357	111010011011
33	0	33	376	000101111000
34	0	34	-3	111111111101
35	0	35	83	000001010011
36	0	36	162	000010100010
37	0	37	92	000001011100
38	0	38	-403	111001101101
39	0	39	70	000001000110
40	0	40	95	000001011111
41	0	41	-86	111110101010
42	0	42	-2	111111111110
43	0	43	-102	111110011010
44	0	44	-470	111000101010
45	0	45	-256	111100000000
46	0	46	-379	111010000101
47	0	47	-175	111101010001
48	0	48	155	000010011011
49	1	0	305	000100110001
50	1	1	52	000000110100
51	1	2	193	000011000001
52	1	3	232	000011101000
53	1	4	319	000100111111
54	1	5	582	001001000110
55	1	6	-122	111110000110
56	1	7	25	000000011001
57	1	8	74	000001001010
58	1	9	167	000010100111
59	1	10	127	000001111111
60	1	11	6	000000000110
61	1	12	-205	111100110011
62	1	13	-722	110100101110
63	1	14	-184	111101001000
64	1	15	-4	111111111100
65	1	16	-200	111100111000
66	1	17	89	000001011001
67	1	18	-196	111100111100
68	1	19	-495	111000010001
69	1	20	-695	110101001001
70	1	21	19	000000010011
71	1	22	-313	111011000111
72	1	23	37	000000100101
73	1	24	330	000101001010
74	1	25	-97	111110011111
75	1	26	372	000101110100
76	1	27	115	000001110011
77	1	28	-542	110111100010
78	1	29	-191	111101000001
79	1	30	-80	111110110000
80	1	31	156	000010011100
81	1	32	-191	111101000001
82	1	33	-444	111001000100
83	1	34	-8	111111111000
84	1	35	24	000000011000
85	1	36	-43	111111010101
86	1	37	0	000000000000
87	1	38	110	000001101110
88	1	39	66	000001000010
89	1	40	111	000001101111
90	1	41	215	000011010111
91	1	42	201	000011001001
92	1	43	117	000001110101
93	1	44	-5	111111111011
94	1	45	29	000000011101
95	1	46	318	000100111110
96	1	47	194	000011000010
97	1	48	-139	111101110101
