Index	Row	Col	Decimal	Binary
----------------------------------------------------------------------
0	0	0	-335	111010110001
1	0	1	-369	111010001111
2	0	2	-246	111100001010
3	1	0	345	000101011001
4	1	1	272	000100010000
5	1	2	219	000011011011
6	2	0	69	000001000101
7	2	1	-44	111111010100
8	2	2	87	000001010111
